Publication Number,Title,Label
US9528838B2,Autonomous vehicle detection of and response to intersection priority,Autonomous Vehicles
US9527527B2,Method and system for intelligent scaling of torque overlay intervention for semi-autonomous road vehicle steering systems,Autonomous Vehicles
US20170057510A1,Methods And Systems For Determining Instructions For Pulling Over An Autonomous Vehicle,Autonomous Vehicles
US9517771B2,Autonomous vehicle modes,Autonomous Vehicles
US9511767B1,Autonomous vehicle action planning using behavior prediction,Autonomous Vehicles
US9499202B2,Steering system and method for autonomous vehicles,Autonomous Vehicles
US20170072809A1,Autonomous transport vehicle charging system,Autonomous Vehicles
US9494938B1,Unique signaling for autonomous vehicles to preserve user privacy,Autonomous Vehicles
US20170045885A1,Remote operation of autonomous vehicle in unexpected environment,Autonomous Vehicles
US20170060129A1,Autonomous vehicle operated with guide assistance of human driven vehicles,Autonomous Vehicles
US20170050637A1,Methods and devices for safe operation of undersize autonomous vehicles on public roads,Autonomous Vehicles
US9488984B1,"Method, device and system for navigation of an autonomous supply chain node vehicle in a storage center using virtual image-code tape",Autonomous Vehicles
US9487275B2,Deployment and recovery vessel for autonomous underwater vehicle for seismic survey,Autonomous Vehicles
US9483059B2,Method to gain driver's attention for autonomous vehicle,Autonomous Vehicles
US9483053B2,Arrangement of area wire for unmanned autonomous operating vehicle and control apparatus of the same,Autonomous Vehicles
US9481459B2,Apparatus and method employing autonomous vehicles to reduce risk,Autonomous Vehicles
US9477225B2,Method for autonomous driving in a car wash and a motor vehicle,Autonomous Vehicles
US9475496B2,Modified autonomous vehicle settings,Autonomous Vehicles
US20170010679A1,Communication between autonomous vehicle and external observers,Autonomous Vehicles
US20170015395A1,Methods and underwater bases for using autonomous underwater vehicle for marine seismic surveys,Autonomous Vehicles
US9459363B2,Method and system of performing geophysical surveys with autonomous underwater vehicles,Autonomous Vehicles
US9457879B2,Self-burying autonomous underwater vehicle and method for marine seismic surveys,Autonomous Vehicles
US9457684B2,Redundant electrical power for autonomous vehicles,Autonomous Vehicles
US20170003687A1,Autonomous Vehicle Routing and Navigation Using Passenger Docking Locations,Autonomous Vehicles
US9446768B2,System and method for energy optimization in autonomous vehicle operation,Autonomous Vehicles
US9428183B2,Self-explaining autonomous vehicle,Autonomous Vehicles
US9428163B2,Autonomous vehicle emergency braking method,Autonomous Vehicles
US9409549B2,Autonomous vehicle window clearing,Autonomous Vehicles
US9405293B2,Vehicle trajectory optimization for autonomous vehicles,Autonomous Vehicles
US20160341565A1,Autonomous Vehicle Lane Routing and Navigation,Autonomous Vehicles
US9400500B2,Autonomous vehicle refueling locator,Autonomous Vehicles
US9400187B2,"Autonomous driving vehicle, autonomous driving management apparatus, and method of controlling the same",Autonomous Vehicles
US9399472B2,Autonomous mode vehicle control system and vehicle comprising such a control system,Autonomous Vehicles
US9392743B2,Agricultural autonomous vehicle platform with articulated base,Autonomous Vehicles
EP2976243B1,Use of environmental information to aid image processing for autonomous vehicles,Autonomous Vehicles
EP2930580B1,Transitioning a mixed-mode vehicle to autonomous mode,Autonomous Vehicles
US20160280345A1,Autonomous underwater vehicle and method for coupling to ocean bottom during marine seismic survey,Autonomous Vehicles
EP2628062A4,Method and arrangement for entering a preceding vehicle autonomous following mode,Autonomous Vehicles
US9381918B1,Modifying speed of an autonomous vehicle based on traffic conditions,Autonomous Vehicles
US20160351056A1,Fallback requests for autonomous vehicles,Autonomous Vehicles
US20160266581A1,Modifying behavior of autonomous vehicles based on sensor blind spots and limitations,Autonomous Vehicles
US9361795B2,Regional driving trend modification using autonomous vehicles,Autonomous Vehicles
US9360865B2,Transitioning from autonomous vehicle control to driver control,Autonomous Vehicles
US9355562B1,Using other vehicle trajectories to aid autonomous vehicles driving through partially known areas,Autonomous Vehicles
EP2981445A4,Systems and methods for transitioning control of an autonomous vehicle to a driver,Autonomous Vehicles
US9340126B2,Autonomous vehicle with reconfigurable seats,Autonomous Vehicles
US9335765B2,Autonomous vehicle media control,Autonomous Vehicles
US20160325808A1,Methods and underwater bases for using autonomous underwater vehicle for marine seismic surveys,Autonomous Vehicles
US9317033B2,Control of the autonomous mode of bimodal vehicles,Autonomous Vehicles
US9308891B2,Limitations on the use of an autonomous vehicle,Autonomous Vehicles
US9304515B2,Regional operation modes for autonomous vehicles,Autonomous Vehicles
US9283967B2,Accurate curvature estimation algorithm for path planning of autonomous driving vehicle,Autonomous Vehicles
US9278689B1,Autonomous vehicle detection of and response to emergency vehicles,Autonomous Vehicles
US9274526B2,Autonomous vehicle and method of estimating self position of autonomous vehicle,Autonomous Vehicles
US9272708B2,Autonomous vehicle entertainment system,Autonomous Vehicles
US9269242B2,ASVVMS=Autonomous Space Vehicle Video Monitoring System,Autonomous Vehicles
US9268335B2,Autonomous vehicle and its failure determination method,Autonomous Vehicles
US9244462B2,Vehicle trajectory planning for autonomous vehicles,Autonomous Vehicles
US9235211B2,Method and arrangement for handover warning in a vehicle having autonomous driving capabilities,Autonomous Vehicles
CN105539586A,Unified motion planner for autonomous driving vehicle in avoiding the moving obstacle,Autonomous Vehicles
US20170154371A1,Methods for sample presentation using autonomous vehicles,Autonomous Vehicles
WO2017087984A1,Controlling autonomous vehicles in connection with transport services,Autonomous Vehicles
US20170141873A1,"System, apparatus, and method for generating and transmitting an interruption signal to a substantially autonomous vehicle",Autonomous Vehicles
US20170139418A1,Autonomous travel working vehicle,Autonomous Vehicles
US20170139412A1,Autonomously Servicing Self-Driving Vehicles,Autonomous Vehicles
US20170137098A1,Seismic autonomous underwater vehicle,Autonomous Vehicles
US20170135277A1,Autonomously traveling work vehicle,Autonomous Vehicles
US20170132118A1,Method and apparatus for testing software for autonomous vehicles,Autonomous Vehicles
US20170132117A1,Method and device for generating test cases for autonomous vehicles,Autonomous Vehicles
US20170131722A1,Autonomous travelling service vehicle,Autonomous Vehicles
US20170124512A1,Methods for delivery to multiple locations using autonomous vehicles,Autonomous Vehicles
US20170108867A1,Autonomous vehicle with improved simultaneous localization and mapping function,Autonomous Vehicles
US20170101032A1,Seat system for autonomous vehicles,Autonomous Vehicles
US20170090480A1,Autonomous vehicle operated with safety augmentation,Autonomous Vehicles
WO2017058961A3,Autonomous vehicle with independent auxiliary control units,Autonomous Vehicles
US20170088038A1,External indicators and notifications for vehicles with autonomous capabilities,Autonomous Vehicles
US20170080933A1,System and method for controlling driving of autonomous vehicle,Autonomous Vehicles
WO2017048502A1,Method and system of location estimation and navigation of autonomous vehicles,Autonomous Vehicles
CN106660560A,Vehicle control system for autonomously guiding a vehicle,Autonomous Vehicles
US20170068245A1,Driving profiles for autonomous vehicles,Autonomous Vehicles
US20170060137A1,Autonomous travel vehicle,Autonomous Vehicles
EP3141443A1,Autonomous driving vehicle,Autonomous Vehicles
US20170057520A1,Control system for autonomous-capable vehicles,Autonomous Vehicles
US20170052537A1,System and Method for Control of Autonomous Vehicle by Mobile Device,Autonomous Vehicles
US20170050642A1,System for autonomously or partially autonomously driving a vehicle with communication module for obtaining additional information from a vehicle driver and corresponding method,Autonomous Vehicles
CN106467147A,The body construction of autonomous driving vehicle,Autonomous Vehicles
EP3121084A3,Autonomous vehicle,Autonomous Vehicles
US20170036678A1,Autonomous vehicle control system,Autonomous Vehicles
US20170034983A1,Autonomous farm vehicle,Autonomous Vehicles
US20170031364A1,Navigation device for autonomously driving vehicle,Autonomous Vehicles
CN106463049A,System and methods to support autonomous vehicles via environmental perception and sensor calibration and verification,Autonomous Vehicles
CN106347345A,Safety brake device and method for safety braking of an autonomous vehicle,Autonomous Vehicles
CN106564505A,Safety stoppage device and method for safety stoppage of an autonomous vehicle,Autonomous Vehicles
US20160375901A1,System and Method for Controlling Semi-Autonomous Vehicles,Autonomous Vehicles
US20160375768A1,Vehicle operation assistance information management for autonomous vehicle control operation,Autonomous Vehicles
WO2016209595A1,Determining pickup and destination locations for autonomous vehicles,Autonomous Vehicles
US20160362084A1,Autonomous vehicle theft prevention,Autonomous Vehicles
EP3107806A2,Method and autonomous underwater vehicle able to maintain a planned arrangement,Autonomous Vehicles
US20160355092A1,Vehicle body structure of autonomous vehicle,Autonomous Vehicles
EP3105750A1,"Method and system for recognizing autonomously driven vehicles, for distance measuring and for distance control",Autonomous Vehicles
US20160301698A1,In-vehicle authorization for autonomous vehicles,Autonomous Vehicles
US20160285288A1,Charging station and charging station guide  for autonomously navigating utility vehicle,Autonomous Vehicles
US20160282870A1,Control apparatus for autonomously navigating utility vehicle,Autonomous Vehicles
US20160282869A1,Control apparatus for  autonomously navigating utility vehicle,Autonomous Vehicles
US20160282868A1,Control apparatus for  autonomously navigating utility vehicle,Autonomous Vehicles
US20160282867A1,Control apparatus for autonomously navigating utility vehicle,Autonomous Vehicles
US20160282866A1,Control apparatus for  autonomously navigating utility vehicle,Autonomous Vehicles
US20160274588A1,Autonomous traveling vehicle and reproduction travel method,Autonomous Vehicles
EP3056959A1,Control apparatus for autonomously navigating utility vehicle,Autonomous Vehicles
US20160229414A1,Device for estimating the operating time of a motor vehicle in autonomous mode and associated method,Autonomous Vehicles
EP3056960A1,Control apparatus for autonomously navigating utility vehicle,Autonomous Vehicles
US20160209220A1,Method and system for anticipatory deployment of autonomously controlled vehicles,Autonomous Vehicles
US20160207538A1,Autonomous driving vehicle system,Autonomous Vehicles
US20160205146A1,System and method for scheduling a video conference in an autonomous vehicle,Autonomous Vehicles
US20160203649A1,Method and System for Providing Autonomous Car Errands,Autonomous Vehicles
WO2017076910A1,A control system and method for a vehicle comprising an autonomous emergency braking system,Autonomous Vehicles
WO2017071911A1,An autonomous vehicle that minimizes human reactions,Autonomous Vehicles
WO2017044495A1,Comfort profiles for autonomous vehicle,Autonomous Vehicles
WO2017040929A1,Access and control for driving of autonomous vehicle,Autonomous Vehicles
US20160161602A1,Sensor calibration for autonomous vehicles,Autonomous Vehicles
US20160144859A1,System and method for autonomous navigation of vehicle,Autonomous Vehicles
EP3102744A1,Autonomous loading vehicle controller,Autonomous Vehicles
CN105806354A,Navigation unit and method for providing navigation instructions for an autonomous vehicle,Autonomous Vehicles
EP2436620A3,Automated case unit storage system with autonomous transport vehicle,Autonomous Vehicles
EP2964515A1,System and method for recovering an autonomous underwater vehicle,Autonomous Vehicles
WO2017077598A1,Autonomous vehicle operation apparatus and autonomous vehicle operation method,Autonomous Vehicles
CN104471624B,The method and system for making trace of the following vehicle based on leading vehicle independently follow the trail of,Autonomous Vehicles
CN103335658B,A kind of autonomous vehicle barrier-avoiding method generated based on arc path,Autonomous Vehicles
CN104192017B,A kind of autonomous formula electric motor car electric power system and method for supplying power to thereof,Autonomous Vehicles
CN103246284B,The unmanned control device travelling Operation Van,Autonomous Vehicles
CN102901510B,Independently technology is escorted for vehicle,Autonomous Vehicles
CN103281742B,Road information vehicular ad hoc network method for routing is obtained based on autonomous,Autonomous Vehicles
CN102806912B,For the Fast Collision Detection technology of the autonomous vehicle that connects and hand-propelled vehicle,Autonomous Vehicles
CN206091477U,Automatic obstacle avoiding formula intelligence garage parking moves car robot,Autonomous Vehicles
EP2544928B1,Autonomous tracking device for vehicle,Autonomous Vehicles
EP2758295B1,Method for autonomous manoeuvring of a vehicle as well as a driver assistance device,Autonomous Vehicles
